time	h	L
2.291666678	0.2	0.01
2.37424031439	0.212141819883	0.70606080139
2.45978925494	0.244867433518	1.22573917655
2.54842070622	0.28143417351	1.7375231443
2.64024573766	0.320548360525	2.2554490854
2.73537942076	0.361796572706	2.78479042625
2.83394097329	0.405014697683	3.32836854654
2.9360539087	0.450138853759	3.88804504631
3.04184619088	0.497154214439	4.46523503311
3.15145039454	0.546073428495	5.06112450882
3.26500387135	0.596926237582	5.67677583833
3.38264892203	0.649753971338	6.31318450248
3.50453297471	0.704606450291	6.97131183449
3.63080876967	0.761540128661	7.65210542092
3.76163455075	0.82061695096	8.35651243065
3.89717426366	0.881903637142	9.08548872659
4.0375977614	0.945471224916	9.84000547648
4.18308101715	1.01139476988	10.6210542588
4.33380634479	1.07975318011	11.4296509002
4.48996262734	1.15062911223	12.2668387762
4.65174555369	1.22410893121	13.1336915572
4.8193578638	1.30028270631	14.0313156763
4.99300960281	1.37924423318	14.9608526238
5.17291838421	1.46109109543	15.9234809371
5.35930966257	1.54592473063	16.920418241
5.5524170161	1.63385051677	17.9529231795
5.75248243929	1.72497787552	19.0222972817
5.95975664624	1.8194203699	20.1298869865
6.17449938477	1.91729583979	21.2770853992
6.39697976203	2.01872652565	22.4653342754
6.62747658162	2.12383920766	23.6961259692
6.86627869305	2.23276535255	24.9710054234
7.1136853537	2.34564126861	26.2915722033
7.37000660381	2.46260827236	27.6594825419
7.63556365507	2.58381283887	29.0764516842
7.91068929306	2.70940680683	30.5442558207
8.19572829437	2.83954754734	32.0647345287
8.49103785863	2.97439815938	33.6397930944
8.7969880561	3.11412767149	35.2714049283
9.11396229149	3.25891125051	36.9616140685
9.44235778439	3.40893041817	38.7125377716
9.78258606706	3.56437327999	40.5263691519
10.1350735001	3.72543473654	42.4053801738
10.500261807	3.89231676234	44.3519241534
10.8786086271	3.88678957849	46.3667435186
11.2705880898	3.67547484613	48.4406928959
11.6766914083	3.45808233383	50.5740076871
12.0974274952	3.23435908953	52.7691665214
12.5333236003	3.00404610637	55.0287067425
12.9849259714	2.76687776668	57.3552299022
13.4528005389	2.5225813125	59.7514069873
13.9375336245	2.27087631914	62.2199836124
14.4397326767	2.01147427535	64.763784145
14.9600270314	1.74407802613	67.3857172018
15.4990687011	1.46838132298	70.0887800663
16.0575331914	1.18406835495	72.8760632976
16.6361203479	0.890813267034	75.7507554611
17.2355552333	0.588279692934	78.7161477135
17.8565890357	0.276120264269	81.77563862
18.50000001	-0.0460238776344	84.9327389416
