time (day)	h (ft)
2.291666678	0.1165078
2.2951389	0.1975137
2.298611123	0.2859454
2.302083345	0.2915
2.305555567	0.2934014
2.309027789	0.2950047
2.312500012	0.2974702
2.315972234	0.3007167
2.319444456	0.3001464
2.322916678	0.3103764
2.3263889	0.3086239
2.329861123	0.3207459
2.333333345	0.3196975
2.336805567	0.3253522
2.340277789	0.321576
2.343750012	0.3237615
2.347222234	0.3335993
2.350694456	0.3305421
2.354166678	0.3311939
2.3576389	0.3359171
2.361111123	0.337093
2.364583345	0.350081
2.368055567	0.3527437
2.371527789	0.3524721
2.375000012	0.3601395
2.378472234	0.3594065
2.381944456	0.3672781
2.385416678	0.3660238
2.3888889	0.3662743
2.392361123	0.3655393
2.395833345	0.3613442
2.399305567	0.3686599
2.402777789	0.3735615
2.406250012	0.3778882
2.409722234	0.3834293
2.413194456	0.386484
2.416666678	0.3946455
2.4201389	0.4001744
2.423611123	0.3962389
2.427083345	0.3905018
2.430555567	0.4012682
2.434027789	0.3967839
2.437500012	0.4079139
2.440972234	0.3986828
2.444444456	0.4107457
2.447916678	0.4112838
2.4513889	0.4153487
2.454861123	0.4163349
2.458333345	0.4176432
2.461805567	0.4102026
2.465277789	0.4175801
2.468750012	0.4235096
2.472222234	0.4301748
2.475694456	0.4303688
2.479166678	0.4279389
2.4826389	0.4281104
2.486111123	0.4333465
2.489583345	0.4358622
2.493055567	0.437505
2.496527789	0.4358681
2.500000012	0.4386971
2.503472234	0.4426577
2.506944456	0.4421498
2.510416678	0.4411922
2.5138889	0.4484589
2.517361123	0.4452181
2.520833345	0.4534087
2.524305567	0.4498345
2.527777789	0.4523019
2.531250012	0.4559677
2.534722234	0.4607531
2.538194456	0.4589982
2.541666678	0.456023
2.5451389	0.4593155
2.548611123	0.4595762
2.552083345	0.4632214
2.555555567	0.4618641
2.559027789	0.4567623
2.562500012	0.4636717
2.565972234	0.4663264
2.569444456	0.4660192
2.572916678	0.4614595
2.5763889	0.4654889
2.579861123	0.4677399
2.583333345	0.470589
2.586805567	0.4659472
2.590277789	0.4704382
2.593750012	0.4722163
2.597222234	0.4686314
2.600694456	0.4682213
2.604166678	0.4761328
2.6076389	0.4746781
2.611111123	0.4729027
2.614583345	0.4731546
2.618055567	0.4744984
2.621527789	0.4719044
2.625000012	0.4734626
2.628472234	0.4704494
2.631944456	0.4764477
2.635416678	0.4746666
2.6388889	0.4777438
2.642361123	0.4763181
2.645833345	0.4790422
2.649305567	0.4753191
2.652777789	0.4723732
2.656250012	0.4769404
2.659722234	0.475808
2.663194456	0.4785556
2.666666678	0.4770604
2.6701389	0.4799558
2.673611123	0.4749828
2.677083345	0.4747722
2.680555567	0.4747813
2.684027789	0.4763792
2.687500012	0.4758179
2.690972234	0.4742462
2.694444456	0.476931
2.697916678	0.4778069
2.7013889	0.4735741
2.704861123	0.4753393
2.708333345	0.4759658
2.711805567	0.4782344
2.715277789	0.4776324
2.718750012	0.4776459
2.722222234	0.4733096
2.725694456	0.4785165
2.729166678	0.4769197
2.7326389	0.473753
2.736111123	0.4752581
2.739583345	0.4782894
2.743055567	0.4751067
2.746527789	0.4748017
2.750000012	0.4803832
2.753472234	0.4746109
2.756944456	0.47378
2.760416678	0.4760563
2.7638889	0.4770502
2.767361123	0.4754983
2.770833345	0.4755473
